AGGELLOUSA V-PAP-NSF A)GGE/LLW
AGGH N-APN A)/GGOS
ADMEIN N-PRI A)DMI/N
ALLAXOU ADV A)LLAXOU=
AMFIBALLONTAS V-PAP-APM A)MFIBA/LLW
AMFIEZEI V-PAI-3S A)MFIE/ZW
AMWMON N-ASN A)/MWMON
ANAKEKULISTAI V-RPI-3S A)NAKULI/W
ANAPHDHSAS V-AAP-NSM A)NAPHDA/W
APHSPASAMEQA V-ADI-1P A)PASPA/ZOMAI
APODEKATEUW V-PAI-1S A)PODEKATEU/W
ARNEI N-PRI *)ARNI/
ASAF N-PRI *)ASA/F
AUTOFWRW A-DSN AU)TO/FWROS
AUXEI V-PAI-3S AU)XE/W
AFQORIAN N-ASF A)FQORI/A
AFUSTERHMENOS V-RPP-NSM A)FUSTERE/W
BELONHS N-GSF BELO/NHS
BEWR N-PRI *BOSO/R
BHQZAQA N-PRI *BHQZAQA/
GERASHNWN N-GPM *GERASHNO/S
DEOUS N-GSN DE/OS
DIAKAQARAI V-AAN DIAKAQAI/RW
DIAPARATRIBAI N-NPF DIAPARATRIBH/
DIAUGHS A-NSM DIAUGH/S
DIAXLEUAZONTES V-PAP-NPM DIAXLEUA/ZW
DIENQUMOUMENOU V-PNP-GSM DIENQUME/OMAI
DIORQWMATWN N-GPN DIO/RQWMA
DOKIMASIA N-DSF DOKIMASI/A
DUSEWS N-GSF DU/SIS
DUSFHMOUMENOI V-PPP-NPM DUSFHME/W
EANPER COND E)A/NPER
EKZHTHSEIS N-APF E)KZH/THSIS
EKPERISSWS ADV E)KPERISSW=S
EKUKLEUSAN V-AAI-3P KUKLEU/W
ELEATE V-PAM-2P E)LEA/W
ELEGMON N-ASM E)LEGMO/S
ELEWNTOS V-PAP-GSM E)LEA/W
ELIGMA N-ASN E(/LIGMA
EMPAIGMONH N-DSF E)MPAIGMONH/
ENENHKONTA A-NUI E)NENH/KONTA
ENQEN ADV E)/NQEN
ENKAUXASQAI V-PNN E)GKAUXA/OMAI
ENORKIZW V-PAI-1S E)NORKI/ZW
ECEBHSAN V-2AAI-3P E)KBAI/NW
ECEQAUMAZON V-IAI-3P E)KQAUMA/ZW
ECEPHDHSAN V-AAI-3P E)KPADA/W
EPARATOI A-NPM E)PA/RATOS
EPEISELEUSETAI V-FDI-3S E)PEISELEU/SETAI
EPEKEILAN V-AAI-3P E)PIKE/LLW
EPELEIXON V-IAI-3P E)PILEI/XW
EPESPEIREN V-AAI-3S E)PISPEI/RW
EPISKEUASAMENOI V-ADP-NPM E)PISKEUA/ZOMAI
EPISTASIN N-ASF E)PI/STASIS
EPISTASIS N-NSF E)PI/STASIS
EUGE ADV EU)=GE
EUQUMWS ADV EU)QU/MWS
EUPAREDRON A-ASN EU)PA/REDROS
EURAKULWN N-NSM EU)RAKU/LWN
ZHLEUE V-PAM-2S ZHLEU/W
HQROISMENOUS V-RPP-APM A)QROI/ZW
HXOUS N-GSF H)=XOS [1II]1
HXOUS N-GSN H)=XOS [1II]1
QORUBAZH V-PPI-2S QORUBA/ZW
IEROQUTON A-NSN I(ERO/QUTOS
IWBHL N-PRI *)IWBH/D
IWDA N-PRI *)IWDA/
IWSHX N-PRI *)IWSH/X
KATABARUNOMENOI V-PPP-NPM KATABARU/NW
KATADIKHN N-ASF KATADI/KH
KATAKUYAS V-AAP-NSM KATAKU/PTW
KATEGRAFEN V-IAI-3S KATAGRA/FW
KATEULOGEI V-IAI-3S KATEULOGE/W
KATWKISEN V-AAI-3S KATOIKI/ZW
KLINARIWN N-GPN KLINA/RION
KOPRIA N-APN KO/PRION
KRUFAIW A-DSN KRUFAI=OS
MAGADAN N-PRI *MAGADA/N
MENNA N-PRI *MENNA/
MENOUN PRT MENOU=N
METATRAPHTW V-2APM-3S METATRE/PW
MULINON A-ASM MU/LINOS
OIKETEIAS N-GSF OI)KETEI/A
OIKODOMWN N-GPM OI)KODO/MOS
OIKOURGOUS A-APF OI)KOURGO/S
OLIGOPISTIAN N-ASF O)LIGOPISTI/A
OLIGWS ADV O)LI/GWS
OMIXLAI N-NPF O)MI/XLH
PANTAXH ADV  PANTAXH=|
PARABOLEUSAMENOS V-ADP-NSM PARABOLEU/OMAI
PARAKAQESQEISA V-AOP-NSF PARAKAQE/ZOMAI
PAREDREUONTES V-PAP-NPM PAREDREU/W
PAREMBALOUSIN V-FAI-3P PAREMBA/LLW
PERAITERW ADV-C PERAITE/RW
PERIAYANTWN V-AAP-GPM PERIA/PTW
PISIDIAN A-ASF *PISI/DIOS
PRAUPAQIAN N-ASF PRAU+PAQI/A
PROBATIA N-APN PROBA/TION
PROPATORA N-ASM PROPA/TWR
PROSAITHS N-NSM PROSAI/THS
PROSEKLIQH V-API-3S PROSKLI/NW
PRWTWS ADV-S PRW/TWS
PURROU N-GSM *PU/RROS
RUPANQHTW V-APM-3S R(UPAI/NW
SEIROIS N-DPM SIRO/S
SITIA N-APN SITI/ON
STASIASTWN N-GPM STASIASTH/S
SUGGENIS N-NSF SUGGENI/S
SUMMORFIZOMENOS V-PPP-NSM SUMMORFI/ZW
SUMFORON A-ASN SU/MFOROS
SUNEPEQENTO V-2AMI-3P SUNEPITI/QHMI
SUNEPESEN V-2AAI-3S SUMPI/PTW
SUNHLLASSEN V-IAI-3S SUNALLA/SSW
SFUDRA N-NPN SFUDRO/N
TAPEINOFRONES A-NPM TAPEINO/FRWN
TITIOU N-GSM *TI/TIOS
TRHMATOS N-GSN TRH=MA
TUPIKWS ADV TUPIKW/S
UPEREKPERISSOU ADV U(PEREKPERISSOU=
UPERLIAN ADV U(PERLI/AN
UPOLIMMA N-NSN U(PO/LEIMMA
FARMAKWN N-GPN  FA/RMAKON
WTARION N-ASN W)TA/RION
